time,tem,heating rate,,,
min,K,K/min,,,
4.116666667,339.38,82.44048583,99.90069513,0.000827541,Training
4.133333333,339.51,82.13951613,99.90069513,0.000827541,Training
4.15,339.69,81.85301205,99.90069513,0.000827541,Training
4.166666667,339.87,81.5688,99.90069513,0.000827541,Training
4.183333333,340.01,81.27729084,99.90069513,0.000827541,Training
4.2,340.22,81.0047619,99.90069513,0.000827541,Training
4.216666667,340.35,80.71541502,99.90069513,0.000827541,Training
4.233333333,340.54,80.44251969,99.90069513,0.000827541,Training
4.25,340.71,80.16705882,99.90069513,0.000827541,Test
4.266666667,340.87,79.89140625,99.90069513,0.000827541,Training
4.283333333,341.05,79.62256809,99.90069513,0.000827541,Validation
4.3,341.2,79.34883721,99.90069513,0.001655081,Training
4.316666667,341.37,79.08185328,99.90069513,0.001655081,Training
4.333333333,341.54,78.81692308,99.90069513,0.001655081,Training
4.35,341.7,78.55172414,99.90069513,0.001655081,Training
4.366666667,341.87,78.29083969,99.90069513,0.001655081,Training
4.383333333,342.05,78.03422053,99.90069513,0.001655081,Training
4.4,342.2,77.77272727,99.90069513,0.001655081,Training
4.416666667,342.38,77.52,99.90069513,0.001655081,Test
4.433333333,342.53,77.26240602,99.90069513,0.001655081,Training
4.45,342.7,77.01123596,99.90069513,0.001655081,Validation
4.466666667,342.89,76.76641791,99.90069513,0.001655081,Training
4.483333333,343.02,76.51003717,99.8510427,0.00082754,Training
4.5,343.23,76.27333333,99.8510427,0.00082754,Validation
4.516666667,343.36,76.02066421,99.8510427,0.00082754,Training
4.533333333,343.54,75.78088235,99.8510427,0.00082754,Training
4.55,343.72,75.54285714,99.8510427,0.00082754,Test
4.566666667,343.86,75.29781022,99.8510427,0.00082754,Training
4.583333333,344.07,75.06981818,99.8510427,0.00082754,Training
4.6,344.19,74.82391304,99.8510427,0.00082754,Training
4.616666667,344.39,74.59711191,99.8510427,0.00082754,Training
4.633333333,344.55,74.36330935,99.8510427,0.00082754,Training
4.65,344.7,74.12903226,99.8510427,0.00082754,Training
4.666666667,344.9,73.90714286,99.8510427,0.00082754,Validation
4.683333333,345.03,73.67188612,99.8510427,0.00082754,Training
4.7,345.22,73.45106383,99.8510427,0.00082754,Training
4.716666667,345.38,73.2254417,99.8510427,0.00082754,Training
4.733333333,345.55,73.00352113,99.8510427,0.00082754,Training
4.75,345.73,72.78526316,99.8510427,0.00082754,Training
4.766666667,345.89,72.56433566,99.8510427,0.00082754,Training
4.783333333,346.05,72.34494774,99.8510427,0.00082754,Training
4.8,346.23,72.13125,99.8510427,0.00082754,Training
4.816666667,346.38,71.91280277,99.8510427,0.00082754,Test
4.833333333,346.57,71.70413793,99.8510427,0.00082754,Training
4.85,346.74,71.49278351,99.8510427,0.00082754,Training
4.866666667,346.89,71.27876712,99.8510427,0.00082754,Training
4.883333333,347.09,71.07645051,99.8510427,0.00082754,Training
4.9,347.22,70.86122449,99.8510427,0.00082754,Validation
4.916666667,347.42,70.66169492,99.8510427,0.00082754,Training
4.933333333,347.58,70.45540541,99.8510427,0.00082754,Training
4.95,347.73,70.24848485,99.8510427,0.00082754,Training
4.966666667,347.94,70.05503356,99.8510427,0.00082754,Training
4.983333333,348.06,69.84481605,99.8510427,0.00082754,Test
5,348.27,69.654,99.8510427,0.00082754,Training
5.016666667,348.42,69.45249169,99.8510427,0.00082754,Training
5.033333333,348.58,69.25430464,99.8510427,0.00082754,Test
5.05,348.77,69.06336634,99.8510427,0.00082754,Training
5.066666667,348.91,68.86381579,99.8510427,0.00082754,Training
5.083333333,349.11,68.67737705,99.8510427,0.00082754,Training
5.1,349.26,68.48235294,99.8510427,0.00082754,Validation
5.116666667,349.43,68.29250814,99.8510427,0.001655081,Training
5.133333333,349.62,68.10779221,99.8510427,0.001655081,Training
5.15,349.77,67.91650485,99.8510427,0.001655081,Training
5.166666667,349.95,67.73225806,99.8510427,0.001655081,Training
5.183333333,350.11,67.54533762,99.8510427,0.001655081,Training
5.2,350.28,67.36153846,99.8510427,0.001655081,Test
5.216666667,350.45,67.17891374,99.8510427,0.001655081,Training
5.233333333,350.62,66.99745223,99.8510427,0.001655081,Training
5.25,350.78,66.8152381,99.8510427,0.001655081,Training
5.266666667,350.97,66.63987342,99.8510427,0.001655081,Training
5.283333333,351.11,66.45615142,99.8510427,0.001655081,Validation
5.3,351.31,66.28490566,99.80139027,0.00082754,Training
5.316666667,351.46,66.10532915,99.80139027,0.00082754,Training
5.333333333,351.61,65.926875,99.80139027,0.00082754,Test
5.35,351.82,65.76074766,99.80139027,0.00082754,Training
5.366666667,351.94,65.57888199,99.80139027,0.00082754,Training
5.383333333,352.15,65.41486068,99.80139027,0.00082754,Training
5.4,352.29,65.23888889,99.80139027,0.00082754,Training
5.416666667,352.46,65.06953846,99.80139027,0.00082754,Training
5.433333333,352.65,64.90490798,99.80139027,0.00082754,Training
5.45,352.78,64.73027523,99.80139027,0.00082754,Training
5.466666667,352.99,64.57134146,99.80139027,0.00082754,Validation
5.483333333,353.13,64.4006079,99.80139027,0.00082754,Training
5.5,353.3,64.23636364,99.80139027,0.00082754,Training
5.516666667,353.48,64.07492447,99.80139027,0.00082754,Training
5.533333333,353.63,63.90903614,99.80139027,0.00082754,Training
5.55,353.82,63.75135135,99.80139027,0.00082754,Test
5.566666667,353.96,63.58562874,99.80139027,0.00082754,Training
5.583333333,354.14,63.4280597,99.80139027,0.00082754,Training
5.6,354.32,63.27142857,99.80139027,0.00082754,Training
5.616666667,354.48,63.11216617,99.80139027,0.00082754,Validation
5.633333333,354.65,62.9556213,99.80139027,0.00082754,Training
5.65,354.82,62.8,99.80139027,0.00082754,Training
5.666666667,354.98,62.64352941,99.80139027,0.00082754,Training
5.683333333,355.16,62.4914956,99.80139027,0.00082754,Training
5.7,355.32,62.33684211,99.80139027,0.00082754,Training
5.716666667,355.48,62.18309038,99.80139027,0.00082754,Validation
5.733333333,355.67,62.03546512,99.80139027,0.00082754,Training
5.75,355.81,61.88,99.80139027,0.00082754,Training
5.766666667,356.02,61.73757225,99.80139027,0.00082754,Training
5.783333333,356.16,61.58386167,99.80139027,0.00082754,Test
5.8,356.33,61.4362069,99.80139027,0.00082754,Training
5.816666667,356.52,61.29283668,99.80139027,0.00082754,Training
5.833333333,356.65,61.14,99.80139027,0.001655081,Training
